miRNA,10,21,28,12,22,29,14, 22b,30,15,23,32,17,24,33,18,25,34,19,26, k104_1,20,27,35,41,50,58,36,43,51,59,37,44,52,61,38,45,53,66, 38b,46,54,69,39,47,55,71, 39b, 47b,56, k104_2,40,49,57,63,77,86,97,83,64,78,87,98,65,79,88,99,72,80,89,102,73,81,92,103,74,82,93, K104_3a,75,84,95, k104_3b,76,85,96
hsa-mir-124-3p ,5.3,5.3,2,0.5,1.4,0.7,3.7,3,0.7,2.4,4.1,1.3,2,1.2,1,1.8,0.9,9.5,1.8,0.6,7.8,0.6,0.7,1.1,0.9,1.8,1.3,0.3,1,0.8,0.9,0.6,0.6,1.2,0.6,7.2,2.3,0.8,1.5,1.5,1.4,0.8,0.3,0.6,0.7,0.4,1,3.2,1.2,0.8,0.5,0.6,0.6,1,0.3,0.8,0.3,0.3,0.4,0.7,0.7,31.6,1.8,7,1.4,2.8,0.4,0.8,2.2,0.3,0.4,2.3,1,0.5,0.5,1.5,0.9,0.6,1.8,0.7,0.5,0.6,0.1,1,0.7,1.4
hsa-mir-132-3p ,109.1,75.6,34.5,61.9,61.4,76.3,162.8,41.6,100.2,114.6,72.9,92.1,121.6,57,120.9,100,75.6,72,114.6,58.3,116,140.5,67.9,177.6,66.4,80,50.3,24.7,158.3,94.5,95.8,61.5,80.8,51.6,51.7,64,66.1,91.4,44.5,98.8,83.5,44.4,55.6,45.3,61.1,24.8,51.6,105,64.1,47.7,21.1,72.4,89.3,20.4,68.2,48.2,36.6,62.5,58.9,22.9,54.2,57.7,86.5,44.7,54,72.3,80.7,72.1,66.6,53.1,58.3,29.6,77.3,99.3,96.3,69.8,41.5,112.3,120.1,43,63.5,110,123.6,98,75.7,77.1
hsa-mir-137 ,2.6,1.5,0.9,0.7,2.2,1,8.6,0.6,1.1,0.7,0.8,2.2,3.5,1,1.4,3.6,0.5,0.7,2.9,0.8,0.9,3.3,1,2.9,2.3,2.8,2.4,3.1,2.9,2.3,0.4,1.8,2.2,2,0.7,2,1,0.7,0.1,2.8,2.2,1.4,1,2.3,3.7,1.4,0.8,5.1,3.2,1.1,0.7,2.1,9,3,0.5,0.6,0.3,0.6,0.1,2.8,1.3,0.7,0.8,0.3,1.7,2.4,0.6,1.6,1.7,0.5,0.3,0.9,3.1,1.9,2.6,0.9,1,0.6,2.8,1.3,0.6,0.7,0.2,1.7,1.3,1.1
hsa-mir-142-3p ,622.2,388.9,853.6,453.6,504.4,930.7,468.6,396.8,346.5,387.4,400.6,550.6,509.6,548.6,449.8,499.4,714.8,697.2,647.6,433.3,525.7,291.2,1249.6,397,246,233,167.2,225,239.6,387.3,158.7,278.5,320.2,279.6,132.7,208.3,213.7,518.7,140.3,237.5,108.9,253.7,151.5,247.9,206.7,233.1,83.7,216.9,191,165.2,299.4,307.3,52.4,337.8,525.4,298.7,361,472.6,316.4,188.9,380.8,407.8,367.6,299.6,381.7,377.6,445.7,493.7,348.4,559.3,322.2,516.1,276.2,343.2,225.6,539.2,307.4,219.9,146.2,272.9,345.1,281.8,238.6,150.9,343,114
hsa-mir-142-5p ,644.4,287.3,482.9,744.8,553.1,726.1,577.1,355.8,450.6,431.2,369.6,252.4,649.4,218.2,556.1,501.7,420.1,308.1,469.8,281.6,466.6,422.2,506.5,947.1,575.7,497.3,641.4,572.4,930.7,1001.7,352.9,670,985.6,316.3,363.8,640.2,659.5,816.9,260.8,565.1,514.6,356.5,540.7,624.6,441.8,609.8,247.4,636.8,713.7,169.4,650.5,769,515.8,454.7,741.8,389.4,476.5,609.8,626,340,432.4,455.2,505.1,417,592.4,500.9,354.4,658,469.3,487.7,338.7,682.2,382.8,588.7,278.7,528.4,384.9,398.4,442.1,338.4,316.3,415.1,345.3,137.5,367.8,523.6
hsa-mir-145-5p ,581.1,933.8,280.1,522.7,638.7,591.3,827.3,409,1048.2,806,643,738.2,613.7,2483.1,599,642.3,500.5,773.8,614.3,536.1,585.3,612.1,612.5,290.7,189.7,296.2,382.2,336.1,431.7,388.1,269.5,230.2,285.6,1089.3,360.6,406,191.6,1311.3,463.6,267.3,460.3,570.6,1449.1,325.5,253,73.6,212.6,392.2,120,541.5,808.3,313.9,187.1,833.9,798,196.5,250.2,385.4,739.7,528.2,565.6,441.7,414.8,399,290.6,734.3,385.5,543.6,411.3,897.7,537.5,776.8,984.5,559.6,594.1,393.3,642,252,712.6,379.4,269.6,859.1,502.1,277.6,702.9,1038.7
hsa-mir-146b-5p ,1091.5,455.1,689.9,1031.4,359.7,1135.7,884,759.5,458.9,887.6,627.9,562.5,681.9,616.8,664.5,757.2,680.9,659.6,863.2,661.3,1006.4,743.1,903.8,1243.1,2127.6,753.5,1113.2,1182.7,1183.6,2135.8,1007.6,1137.4,1641.6,1274.9,874.8,1028,780.8,1725.6,667.1,855.7,957.6,649.3,942.4,1135,847.2,781.1,483.2,778.1,852.9,500,1448.6,1184.2,969.4,1452,1299.1,608.3,760,869.3,678.8,1093.8,945.9,569.9,534.6,1343.6,1316.3,736.3,720.5,1023.2,688.6,930.8,422,881.9,757.8,846.8,444.7,852.3,1209.8,550.3,784.5,421.1,568.9,722.4,863.3,270.9,826.9,500.6
hsa-mir-148a-3p ,2138.3,1652.4,1507.2,1333,1260.6,1467.6,2067.8,855.6,1563.5,1815.2,1145.1,1955.9,8033.3,795.7,1542.4,1824.3,1075.5,1326.6,2118.2,1249.6,1408.2,2071.7,1645,1750.3,1889.1,649.9,746.2,1183.1,1348.8,1846.7,809.8,1596.3,1081.3,808.9,760.9,1548.7,1423.1,1502.7,644.4,1142.6,2510.8,566.4,1012.6,1510.4,1502.7,760.5,571.7,2609.3,1047.8,555.5,1229.5,1004.7,645.2,1192.6,975.7,873.6,1049.1,1774.4,1640.3,1375.6,963.5,1318.2,1194.7,948.9,692.5,2146.4,1223.9,1148.6,1110.5,978.1,1558.6,740.3,1388.7,1499.9,2174.7,999.7,1449,1451.8,1272.2,844.7,641.2,1618.7,947.4,1049.8,1101.3,1475.9
hsa-mir-150-5p ,1138.7,906.9,58.2,745.5,541.7,208.5,1375.9,496.1,1423,812.9,376.4,1467.9,913.9,548.2,1054.9,1351.1,1086.7,2447.3,3040.8,740.3,2012.2,331.5,342.3,1054.5,360.9,1230.5,674.7,321,742.2,1294.4,736.8,450.8,1046.8,737.3,860.1,1087.7,807.6,2212.6,896.3,471.1,1049.1,656.6,1035.1,727.8,365.5,208.6,293,644,412.8,1288.8,1355.7,590,155.8,1403.8,471.2,1263.9,231.4,852.6,960.1,378.8,901.1,558.3,354.4,1050.4,584.2,908.6,181.9,1001,741.8,679.4,352.8,311.6,654.9,759.7,806.7,1043.3,247.4,1002.3,2226.7,357.4,352.5,582.7,1523.1,950.9,376.4,1510.1
hsa-mir-155-5p ,57.5,45.7,48.1,12.1,44,95.5,99.1,17.1,70,30.4,22.6,53.1,54,41.4,42.4,61.4,78.1,91.5,170.5,36.7,142.4,28.6,65.2,27.7,19.3,58.8,1.7,47.9,52.4,63.9,99.9,70.2,44.9,37.4,27.2,42.1,31.4,71.2,1.1,36.3,58.4,68.2,32.7,38.6,10.2,32.4,5.9,44.3,25.8,78.2,43.1,23.7,35.9,50.3,48.3,73.9,31.7,49.7,55.2,97.6,68.3,64.5,29.4,22,33.5,52.2,60.9,76.2,48.4,69.8,59.7,57.8,51.6,52.4,18.1,43.9,52.9,58,40.7,42.6,32.2,52.9,46.5,38.2,62.9,51
